no.,author,date,rating,review
12,Federico M.,Reviewed in Italy on 1 January 2023,5,"CONFEZIONE Come la tradizione Intel insegna, da qualche serie a questa parte, tutti i processori vengono inseriti all’interno di una scatolina realizzata in cartone. All’esterno vengono mostrate le principali informazioni che è bene conoscere in merito al processore, oltre and alcuni informazioni importanti come i numeri di riferimento. Per avere una scheda dettagliata del prodotto, è sufficiente andare sul sito del produttore per avere tutti i dettagli. Anche l’interno della confezione è rimasta praticamente la medesima tradizione / filosofia, dove il processore in se è contenuto all’interno di un contenitore di plastica, che a sua volta, è bloccato dal cartone della confezione, così da evitare una eventuale caduta durante la spedizione dell’articolo, inoltre, essendo la struttura esterna realizzata in cartone ma la parte in plastica posta solamente al centro, attutisce eventuali urti durante il trasporto. Viene anche fornito il classico manuale con annesso adesivo da applicare al proprio case con questa nuova serie, ovvero 13 esima. DESCRIZIONE DELL’ARTICOLO Arrivando da una serie 9, più precisamente i7-9700K questa serie i7-13700K non può che essere un passo decisamente avanti. Difatti il mio processore precedente presentava 8 core e 8 thread al posto di questo che presenta ben 16 core e 24 thread. Inoltre, si può definire un processore suddiviso in quanto ci sono 8 core performance (P-Core) e 8 core efficienti (E-Core). I primi possono raggiungere una velocità massima di 5,4 Ghz, mentre i core efficienti 4.2 Ghz. La frequenza base per quanto riguarda i core efficienti è di 2.5 Ghz. La potenza base del processore è di 125W ma può raggiungere i 253W in turbo. Ovviamente la gestione se utilizzare i core efficienti o di potenza è data dal sistema operativo e dal carico di lavoro che si va a richiedere. Se il bios ne è provvisto (come il mio in questo caso) è infatti possibile disattivare gli E-Core oppure portarli sempre alla loro massima velocità. Tuttavia, sconsiglio vivamente di fare anche questo soft-overclock in quanto con questi processori di nuova generazione è del tutto “inutile” viste le prestazioni mostruose che riescono ad offrire, così da evitare di andarne a comprometterne l’affidabilità. Difatti ho personalmente contestato che su giochi e ambiti molto pesanti, la gestione automatica è assolutamente perfetta, consentendo temperature di lavoro veramente basse e una resa veramente notevole. Per fare un esempio, su FiveM, utilizzando il V-Sync (e come GPU una 2070S) con FPS bloccati a 75, quest’ultimi non scendono mai sotto questa soglia ma al contrario, tendono ad aumentare leggermente. Con la precedente configurazione si verificavano molteplici cali di frame. Lo stesso ho avuto modo di constatarlo su un gioco competitivo, come può essere Fortnite, bloccando gli FPS a 144 e quest’ultimi rimangono stabili su questa soglia senza mai calare e senza appunto, che si verifichi il minimo lag che sarebbe deleterio su un gioco dove la velocità è fondamentale. Il lavoro che è stato fatto su queste nuove CPU è semplicemente notevole, sono rimasto veramente sorpreso dalla velocità nel fare le operazioni dato che è veramente molto veloce a fare tutto, ma specialmente sorprende sulle prestazioni che si verificano sul lato gaming. Aggiungo che le mie prove sono eseguite sull’ultima build 22H2 di Windows 11. CONCLUSIONI In conclusione, mi ritengo assolutamente soddisfatto di questo processore. Ci tengo inoltre a sottolineare che tutte le mie prove sono state effettuate con una RAM “datata” da soli 2667 Mhz. Per questo processore viene infatti consigliata una frequenza di almeno 3200 Mhz per quanto riguarda il DDR4 e ovviamente supporta ampiamente le RAM DDR5 che raggiungono velocità ancora superiori rispetto la precedente serie. Tuttavia, nonostante questa “problematica”, poiché di problematica non si tratta, le prestazioni che ho avuto modo di constatare anche tramite benchmark sono di tutto rispetto. Ovviamente trattandosi di un nuovo processore appena uscito, bisognerà attendere un po’ prima che Windows in particolare, venga aggiornato al meglio per sfruttare a pieno la potenza offerta da questo processore. Al contempo stesso, si fa veramente fatica a reperirne una ad un giusto prezzo. Nel mio caso, considerato che il mio precedente processore si è rotto, ho dovuto trovare subito una sostituzione rapida. Pagato circa 500 euro (poco meno), posso dire che il prezzo è assolutamente in linea con il rapporto qualità del prodotto offerto e ovviamente tenuto in considerazione che si tratta di una serie presentata solamente a fine ottobre 2022 e senz’altro un prodotto che sarà valido per i prossimi anni. Consigliato? Senza il minimo dubbio!"
13,LO.AD.20,Reviewed in Germany on 24 November 2023,5,"Pro: Der Intel® Core i7-13700K beeindruckt mit einer beeindruckenden Anzahl von 16 Kernen, einschließlich 8 leistungsstarker P-Kerne und 8 effizienter E-Kerne. Mit großzügigen 30 MB Cache bietet dieser Prozessor eine optimale Datenverarbeitung und beschleunigt komplexe Aufgaben. Die herausragende Taktfrequenz von bis zu 5,4 GHz sorgt für eine reibungslose Leistung, selbst bei anspruchsvollen Anwendungen und Spielen. Dank der fortschrittlichen Architektur ist er bereit für die Herausforderungen moderner Anwendungen und Multitasking-Szenarien. Contra: Die beeindruckende Leistung dieses Prozessors geht mit einer entsprechenden Wärmeentwicklung einher, was eine effektive Kühlung erforderlich macht. Der höhere Preis könnte für einige Verbraucher eine Hürde darstellen, aber die gebotene Leistung rechtfertigt die Investition. Die Verfügbarkeit dieses Prozessors könnte je nach Region variieren, was möglicherweise zu Lieferverzögerungen führen kann. Fazit: Insgesamt ist der Intel Core i7-13700K eine beeindruckende Wahl für Enthusiasten und Profis, die Spitzenleistung in ihrem Desktop-Setup suchen."
14,Client d'Amazon,Reviewed in France on 1 May 2024,5,"ayant lu qu'il chauffait anormalement, ce n'est absolument pas le cas ! sous la barre des 35degresC en jeux type warzone"
15,Rafael D.,Reviewed in Spain on 10 February 2024,5,"No mucho que decir al respecto un gran procesador, 16 núcleos, 8 p-cores y 8 e-cores, 24 threads o hilos es decir 2 hilos por cada p-core y un hilo por cada e-core. Al tratarse de la versión 13700 k y no FK habilita gráficos en la placa madre por lo que no se necesita gráfica adicional si la placa soporta entradas gráficas. Gran CPU"
16,William Wallin,Reviewed in Sweden on 5 February 2023,5,Very good performance for CS:GO where you need high fps to play at the highest level!
17,Neagoe,Reviewed in the United Kingdom on 2 May 2024,5,"Kinda expensive tho, but it will sure hold up for the years to come!."
18,Sircam,Reviewed in Italy on 21 August 2023,5,"Il processore Intel I7-13700K della serie Raptor Lake e con socket LGA1700 indica nel nome la 13^ generazione (circa 2022) e che è sbloccato di fabrica per l'overclock delle sue frequenze, attività comunque sempre rischiosa per chiunque non sia davvero esperto. Ha 16 core e una frequenza che va da 3,2Ghz a 5,4Ghz con TurboBoost e una richiesta energetica di soli 125W ed integra una scheda video ottima per compiti basilari (navigazione, Office, streaming video, elaborazione grafica leggera). Supporta nativamente i moduli RAM DDR5 risolvendo i (pochi) problemi presenti con la generazione passata. Ho scelto questo processore per cambio completo del mio vecchio PC con oltre 10 anni alle spalle, principalmente per il gaming. Ne vengo dallo stesso modello, ovviamente più vecchio e con meno Core. Personalmente ritengo che questa CPU sia molto solida, stabile e performante per lunghe sessioni di gaming e la preferisco rispetto alla fascia superiore Intel I9-13xxx per via di una migliore gestione multicore durante le partite. Infatti ritengo che il processore I9 sia stato ideato per compiti diversi dal gaming e volevo un prodotto che come prestazioni pure e rapporto utilizzo/costo fosse il più ottimizzato possibile. Sia con un SSD sata che con un M2 Windows si avvia ed è operativo in mano di 20 secondi (avendo disabilitato la funzione che non spegne mai il PC, quindi l'avvio è reale partendo da uno stato di spegnimento completo). Qualsiasi videogames recente gestisce i Core senza problemi e il processore stesso ""spegne"" quelli non necessari per l'attività svolta. Anche con quei giochi che richiedono hardware di fascia alta come requisito suggerito per una esperienza ottimale, questa CPU rientra abbondantemente nell'elenco - e lo farà per davvero molto tempo. A titolo di paragone il mio vecchio Intel I7-3700 è stato capace di reggere e avviare senza problemi qualsiasi videogioco uscito dal 2013 a oggi senza mai rallentare o scaldarsi oltre misura e non ho dubbi che con questa versione moderna e aggiornata sia uguale. Una piccola cosa a cui prestare attenzione: la CPU scalda. Non è un suo difetto ma proprio la sua temperatura di esercizio specialmente dopo ore di gaming. Preparatevi a una sua dipartita prematura se raffreddata in modo inadeguato e/o inserita in case piccoli. Il mio modello non era boxato (quindi venduto senza ventola) e mi sono rivolto a un noto brand famoso nell'industria per l'acquisto della ventola dedicata. In conclusione forse ottenevo le stesse prestazioni anche con una CPU della famiglia I5-135xx che hanno da sempre un buon rapporto qualità/prezzo, ma ho voluto esagerare per stare tranquillo con le specifiche dei giochi a venire. Secondo me per un gamer è un must have, anche in comparazione con le nuovissime AMD 7000. Stabilità, prestazioni sempre al top e pensieri zero per molto, molto tempo!"
19,Manfred,Reviewed in Germany on 19 March 2024,5,"Super Prozessor- arbeitet fehlerfrei auf meinem MSI Z790. Mainboard, Prozessor und DDR5-Speicher reizen die SSD m.2 Riegel voll aus."
20,Jeffrey,Reviewed in Germany on 16 June 2024,5,"Meiner Meinung nach die beste CPU aktuell, Zum super Preis/Leistungs Verhältnis. Immer wieder"
21,Tang,Reviewed in France on 4 January 2024,5,Il fait clairement le job en termes de puissance et de performances. Rien à redire de ce côté-là. Un choix solide pour ceux qui veulent de la performance brute. Et meilleur prix trouvé.
